UGS,Aesthetic value(%),Bequest value(%),Educational value(%),Entertainment value(%),Existence value(%),Experiential use(%),Heritage value(%),Physical use(%),Scientific value(%),Symbolic value(%)
Broward_Anne Kolb Nature Center,0.547537228,0.019473081,0.136311569,0.206185567,0.030927835,0.285223368,0.008018328,0.620847652,0.004581901,0.003436426
Broward_Boulevard Gardens Community Center,0,0,0,0.75,0,0.25,0,0,0,0
Broward_Brian Piccolo Sports Park & Velodrome,0.129213483,0,0.005617978,0.325842697,0.005617978,0.039325843,0,0.730337079,0,0
Broward_CB Smith Park,0.204678363,0.001461988,0.007309942,0.701754386,0.001461988,0.083333333,0,0.448830409,0.001461988,0
Broward_Central Broward Regional Park,0.15819209,0,0.011299435,0.333333333,0,0.062146893,0,0.542372881,0,0
Broward_Crystal Lake Sand Pine Scrub,0.275862069,0,0.103448276,0.172413793,0.034482759,0,0,0.689655172,0.034482759,0.034482759
Broward_Deerfield Highlands Nature Preserve,0.25,0,0,0.5,0,0,0,0.75,0,0
Broward_Deerfield Island Park,0.532110092,0.009174312,0.064220183,0.431192661,0.009174312,0.293577982,0.036697248,0.495412844,0,0
Broward_Easterlin Park,0.403225806,0,0.008064516,0.616935484,0.008064516,0.036290323,0.004032258,0.322580645,0,0.008064516
Broward_Everglades Holiday Park,0.666735837,0.01929861,0.204191741,0.533720689,0.011620668,0.637684167,0.013073252,0.069101473,0.007262918,0.000207512
Broward_Fern Forest Nature Center,0.4256,0.0064,0.0432,0.1328,0.0096,0.0848,0,0.6848,0,0.0032
Broward_Franklin Park,0.166666667,0,0,0.666666667,0,0,0,0.5,0,0
Broward_Helene Klein Pineland Preserve,0.416666667,0.027777778,0,0.305555556,0.027777778,0.055555556,0,0.666666667,0,0
Broward_Herman and Dorothy Shooster Nature Preserve,0.833333333,0,0.166666667,0.166666667,0,0,0,0.666666667,0,0
Broward_Highlands Scrub Natural Area,0.434782609,0,0.086956522,0.043478261,0.043478261,0.173913043,0.043478261,0.695652174,0.043478261,0
Broward_Hollywood North Beach Park,0.584615385,0,0.004615385,0.216923077,0.003076923,0.073846154,0.003076923,0.410769231,0.003076923,0
Broward_Kristin Jacobs Natural Area at Hillsboro Pineland,0.486486486,0,0.054054054,0.081081081,0,0.027027027,0.027027027,0.702702703,0.027027027,0
Broward_Lafayette Hart Park,0.2,0,0,1,0,0,0,0.4,0,0
Broward_Long Key Natural Area and Nature Center,0.543859649,0.00877193,0.135964912,0.228070175,0.004385965,0.078947368,0.021929825,0.521929825,0.004385965,0.00877193
Broward_Markham Park,0.203679369,0.00131406,0.003942181,0.700394218,0.003942181,0.047306176,0,0.542706965,0.002628121,0
Broward_Military Trail Nature Area,0,0,0,0,0,0,0,1,0,0
Broward_Miramar Pineland Natural Area,0.222222222,0,0.011695906,0.643274854,0.005847953,0.058479532,0,0.391812865,0,0
Broward_Pine Island Ridge Natural Area,0.315789474,0.01754386,0.01754386,0.210526316,0,0.070175439,0.01754386,0.543859649,0.01754386,0
Broward_Plantation Heritage Park,0.230496454,0.003546099,0.010638298,0.531914894,0,0.042553191,0,0.45035461,0,0
Broward_Quiet Waters Park,0.211081794,0,0.013192612,0.65171504,0.007915567,0.068601583,0.002638522,0.559366755,0,0.002638522
Broward_Reverend Samuel Delevoe Memorial Park,0.325,0,0,0.35,0,0.1,0,0.45,0,0
Broward_Roosevelt Gardens Park,0.153846154,0,0,0.384615385,0,0,0,0.538461538,0,0
Broward_Saw Palmetto Natural Area,0.6,0,0.1,0.1,0,0.1,0,0.6,0,0
Broward_Secret Woods Park,0.521008403,0.001680672,0.068907563,0.134453782,0.013445378,0.084033613,0.008403361,0.635294118,0.003361345,0.01512605
Broward_Sewell Lock,0.074074074,0,0.037037037,0.37037037,0,0.111111111,0.037037037,0.62962963,0,0
Broward_Snake Warriors Island,0.417218543,0.006622517,0.013245033,0.19205298,0.013245033,0.052980132,0.033112583,0.715231788,0.006622517,0.006622517
Broward_South Fork Canoe Launch,0,0,0,1,0,0,0,1,0,0
Broward_Sunview Park,0.066666667,0.066666667,0,0.4,0,0,0,0.733333333,0,0
Broward_Tall Cypress Natural Area,0.484848485,0.006060606,0.018181818,0.127272727,0.006060606,0.060606061,0.006060606,0.739393939,0,0.012121212
Broward_Topeekeegee Yugnee Park,0.335329341,0.00239521,0.001197605,0.583233533,0.001197605,0.068263473,0.001197605,0.628742515,0.001197605,0
Broward_Tradewinds Park,0.53,0.01,0.04,0.7,0.01,0.08,0,0.46,0.01,0
Broward_Tree Tops Park,0.42394822,0,0.004854369,0.469255663,0.009708738,0.111650485,0.004854369,0.627831715,0,0.004854369
Broward_Vista View Park,0.287356322,0.001642036,0.003284072,0.374384236,0.001642036,0.055829228,0,0.653530378,0.001642036,0.003284072
Broward_Washburn Park,0,0,0,0.333333333,0,0,0,1,0,0
Broward_West Lake Park,0.330241187,0.003710575,0.014842301,0.480519481,0.003710575,0.094619666,0.001855288,0.499072356,0.001855288,0
Broward_Woodmont Natural Area,0.363636364,0,0.015151515,0.181818182,0,0.03030303,0.015151515,0.742424242,0,0.015151515
Coconut Creek_Community Center and Fitness Center South,0.178571429,0,0,0.607142857,0,0,0,0.428571429,0,0
Coconut Creek_Cypress Park,0.25,0,0,0.7,0,0,0,0.2,0,0
Coconut Creek_George S. Gerber Memorial Park,0.09375,0,0,0.5625,0,0.03125,0,0.6875,0,0
Coconut Creek_Lakeside Park,0.047619048,0,0,0.80952381,0,0.095238095,0,0.333333333,0,0
Coconut Creek_Oak Trails Park,0.2,0,0,0.2,0,0,0.2,0.6,0,0
Coconut Creek_Recreation Complex and Fitness Center North,0.0625,0,0,0.3125,0,0,0,0.6875,0,0
Coconut Creek_Rowe Activity Center and Donaldson Park,0.222222222,0,0,0.777777778,0.111111111,0,0,0.666666667,0,0
Coconut Creek_Sabal Pines Park,0.19047619,0,0,0.380952381,0,0,0,0.714285714,0,0
Coconut Creek_Windmill Park and Dog Park,0.142857143,0,0.023809524,0.452380952,0,0.071428571,0,0.833333333,0,0
Coconut Creek_Winston Park Nature Trail,0.115384615,0.019230769,0,0.480769231,0,0.038461538,0,0.692307692,0,0
Cooper City_Bill Lips Sports Complex,0.125,0,0,0.125,0,0,0,0.75,0,0
Cooper City_Chase Park,0,0,0,1,0,0,0,0,0,0
Cooper City_Christie Schafale Park and Dog Park,0.127272727,0,0,0.636363636,0,0.036363636,0,0.6,0,0
Cooper City_Dawn Park,0,0,0,0.333333333,0,0,0,0.666666667,0,0
Cooper City_Diamond Head Park,1,0,0,0,0,0,0,1,0,0
Cooper City_Ellie Kozak Park,1,0,0,0,0,0,0,0,0,0
Cooper City_Flamingo Park,0,0,0,0.5,0,0,0,1,0,0
Cooper City_Flamingo West Park,0.153846154,0,0,0.346153846,0,0,0,0.769230769,0,0.038461538
Cooper City_Forest Lake Park,0.5,0,0,0.6,0,0,0,0.4,0,0
Cooper City_Jerry Morgan Park,0.4,0,0,0.2,0,0,0,0.4,0,0
Cooper City_Memorial Park,0.166666667,0,0,0.833333333,0,0,0,0.333333333,0,0
Cooper City_Natalie's Cove Park,0,0,0,0,0,0,0,1,0,0
Cooper City_Pine Lake Park,0,0,0,0.666666667,0,0,0,0.333333333,0,0
Cooper City_Pool & Tennis Center Park,0.233333333,0.033333333,0,0.233333333,0,0,0,0.8,0,0
Cooper City_Stirling Palm Park,0.333333333,0,0,0.666666667,0,0,0,0.333333333,0,0
Cooper City_Suellen H. Fardelmann Sports Complex,0.025641026,0,0,0.41025641,0,0.025641026,0,0.666666667,0,0
Cooper City_Tamarind Park,0.272727273,0,0,0.272727273,0,0.181818182,0,0.545454545,0,0
Cooper City_Ted Ferone Park,0.117647059,0,0,0.470588235,0,0.058823529,0,0.882352941,0,0
Coral Springs_Betti Stradling Park,0.074418605,0,0.004651163,0.679069767,0.004651163,0.023255814,0.004651163,0.48372093,0,0.004651163
Coral Springs_Castlewood Park,0,0,0,1,0,0,0,1,0,0
Coral Springs_Coral Springs Aquatic Complex,0.153846154,0.038461538,0.115384615,0.384615385,0,0.076923077,0,0.576923077,0,0
Coral Springs_Countrywood Park,0,0,0,0.666666667,0,0,0,0.333333333,0,0
Coral Springs_Cypress Hammock,0.083333333,0,0,0.291666667,0,0,0,0.708333333,0,0
Coral Springs_Cypress Park,0.212669683,0,0.004524887,0.312217195,0.004524887,0.049773756,0,0.669683258,0,0
Coral Springs_Dede Gilmore Memorial Park,0.333333333,0,0,0.333333333,0,0,0,1,0,0
Coral Springs_Eagle Ridge Park,0.125,0,0,0.875,0,0.125,0,1,0,0
Coral Springs_Fern Glen Park,0.068965517,0,0,0.413793103,0,0.068965517,0,0.793103448,0,0
Coral Springs_Forest Hills Park,0.095238095,0,0,0.571428571,0.047619048,0.047619048,0,0.666666667,0,0
Coral Springs_Forest Hills West Park,0.4,0,0,0.6,0,0,0,0.6,0,0
Coral Springs_Lakeview Park,0.3,0,0,0.1,0,0,0,0.8,0,0
Coral Springs_Lions Park,0,0,0.25,0.25,0,0.25,0,0.5,0,0
Coral Springs_Mullins Park,0.208791209,0,0,0.318681319,0,0.032967033,0,0.681318681,0,0
Coral Springs_North Community Park,0.125,0,0.017857143,0.303571429,0,0.071428571,0,0.785714286,0,0
Coral Springs_Orchid Park,0.25,0,0.027777778,0.25,0,0.027777778,0,0.722222222,0,0
Coral Springs_Paul Barre Memorial Park,0.444444444,0,0,0.222222222,0,0,0,0.333333333,0,0
Coral Springs_Paul Britton Park,0,0,0,1,0,0,0,0.25,0.25,0
Coral Springs_Poinciana Park,0,0,0,0.333333333,0,0,0,1,0,0
Coral Springs_Pride Promoters Park,0,0,0,0.333333333,0,0,0,1,0,0
Coral Springs_Ralph Diaz Memorial Park,0.306122449,0,0,0.204081633,0,0.020408163,0,0.734693878,0,0
Coral Springs_Riverside Park,0.112676056,0,0,0.492957746,0,0.014084507,0,0.676056338,0,0
Coral Springs_Sandy Ridge Sanctuary,0.357142857,0,0,0.357142857,0,0.035714286,0,0.571428571,0,0
Coral Springs_Sherwood Forest Park,0.255319149,0,0.021276596,0.531914894,0,0.042553191,0,0.659574468,0,0
Coral Springs_Sportsplex Athletic Complex,0.19047619,0,0,0.380952381,0,0.047619048,0,0.761904762,0,0
Coral Springs_Three Friends Park,0.48,0,0,0.2,0.02,0.1,0,0.5,0,0
Coral Springs_Three Mountains Natural Area,0.333333333,0,0,0.3125,0,0.041666667,0,0.5,0.020833333,0
Coral Springs_Turtle Run Park,0.125,0,0,0.583333333,0,0.083333333,0,0.708333333,0,0
Coral Springs_Village Green Park,0,0,0,1,0,0,0,0.666666667,0,0
Coral Springs_Westchester Park,0,0,0,0.2,0,0.6,0,0.2,0,0
Coral Springs_Windings Park,0.25,0,0,0.75,0,0,0,0.25,0,0
Dania Beach_Chester Byrd Park,0,0,0,0.571428571,0,0,0,0.714285714,0,0
Dania Beach_CW Thomas Park,0,0,0,0.285714286,0,0,0,0.714285714,0,0
Dania Beach_Dania Beach Marina,0.761904762,0,0,0,0,0.095238095,0,0.333333333,0,0
Dania Beach_Dania Cove Park,0.5,0,0,0.75,0,0,0,0.75,0.25,0
Dania Beach_Frank C. Tootie Adler Park,0.649122807,0.01754386,0,0.228070175,0,0.035087719,0,0.298245614,0,0
Dania Beach_Frost Park,0.164705882,0,0.011764706,0.458823529,0,0.047058824,0,0.541176471,0,0
Dania Beach_Griffin Marine Park,0,0,0,0.5,0,0,0,0.5,0,0
Dania Beach_I.T. Parker Center,0.428571429,0,0,0.285714286,0.142857143,0,0,0.142857143,0,0
Dania Beach_Linear Park,0,0,0.25,0,0,0,0,1,0,0
Dania Beach_Mildred V. Jones Park,0.428571429,0,0,0,0,0,0,0.428571429,0.142857143,0
Dania Beach_Ocean Park Beach,0.678571429,0,0.011904762,0.214285714,0,0.154761905,0,0.404761905,0,0
Dania Beach_Southwest Community Center,0,0,0,0,0,0,0,1,0,0
Dania Beach_Tigertail Lake Park,0.231958763,0,0.051546392,0.603092784,0,0.097938144,0.005154639,0.25257732,0,0
Dania Beach_Whiskey Creek Hideout,0.330232558,0,0.013953488,0.469767442,0,0.134883721,0.004651163,0.376744186,0,0
Davie_Bergeron Park,0.153846154,0,0,0.692307692,0,0.025641026,0,0.41025641,0,0
Davie_Berman Park,0,0,0,1,0,0,0,0,0,0
Davie_Betty Booth Roberts Park,0.142857143,0,0,0.392857143,0,0,0,0.714285714,0,0
Davie_Davie Pine Island Park,0.333333333,0,0,0.166666667,0,0,0,0.666666667,0,0
Davie_Driftwood Estates Park,0.227272727,0,0,0.454545455,0,0.045454545,0,0.5,0,0
Davie_East Davie Nature Park,0,0,0,0.647058824,0,0.058823529,0,0.764705882,0,0
Davie_Firefighters Park,0.111111111,0,0,0.666666667,0,0,0,0.444444444,0,0
Davie_Lange Park,0.333333333,0,0,0.333333333,0,0,0,0.5,0,0
Davie_Liberty Park,0,0,0,0.571428571,0,0.142857143,0,0.571428571,0,0
Davie_Math Igler Citrus Park,0.1875,0,0,0.9375,0,0,0,0.125,0,0
Davie_Oak Hill Equestrian Park,0.352941176,0,0,0.647058824,0,0.058823529,0,0.058823529,0,0
Davie_Orange Drive Linear Park,0.333333333,0,0,0.333333333,0,0.083333333,0,0.833333333,0,0
Davie_Owls Lookout Park,0.533333333,0.2,0,0.2,0,0.133333333,0,0.333333333,0,0
Davie_Peaceful Ridge Park,0.282608696,0,0,0.717391304,0,0.065217391,0,0.282608696,0,0
Davie_Potter Park,0,0,0,0.5,0,0,0,1,0,0
Davie_Reflections Park,0.214285714,0,0,0.535714286,0.035714286,0.071428571,0,0.607142857,0,0
Davie_Robbins Preserve,0.339506173,0,0.00617284,0.641975309,0.00617284,0.055555556,0,0.37654321,0,0.012345679
Davie_Shenandoah Park,0.126315789,0,0.010526316,0.610526316,0,0.052631579,0,0.484210526,0,0
Davie_Silver Lake Park,0.405405405,0.027027027,0,0.297297297,0,0.081081081,0,0.648648649,0,0
Davie_Sunny Lake Bird Sanctuary,0.421052632,0.052631579,0,0.263157895,0,0.105263158,0,0.578947368,0,0
Davie_The Park at Waverly,0.1,0,0,0.6,0,0,0,0.7,0,0
Davie_Veterans Park,0.333333333,0,0,0.361111111,0,0.166666667,0,0.472222222,0,0
Davie_Waterford Park,0.15,0,0,0.55,0,0,0,0.75,0.05,0
Davie_Wes Griffin Park,0.148148148,0,0,0.555555556,0,0.074074074,0,0.62962963,0,0
Davie_Westridge Park,0.454545455,0,0,0.272727273,0,0,0,0.636363636,0,0
Davie_Wolf Lake Park,0.43902439,0.00304878,0,0.268292683,0.009146341,0.079268293,0,0.582317073,0,0.012195122
Deerfield Beach_Ada Graham-Johnson Park,0.5,0,0,0.5,0,0,0,0,0,0
Deerfield Beach_Branhilda Richardson-Knowles Memorial Park,0,0,0,0,0,0,0.5,1,0,0
Deerfield Beach_Central Crystal Heights,0,0,0,0,0,0,0,1,0,0
Deerfield Beach_Constitution & Arboretum Park,0.507692308,0,0.023076923,0.361538462,0.011538462,0.096153846,0,0.607692308,0,0.011538462
Deerfield Beach_Cornerstone Park,0,0,0,1,0,0,0,0.333333333,0,0
Deerfield Beach_Hillsboro Community Center,0,0,0,0.5,0,0,0,0.25,0.25,0
Deerfield Beach_Kirk Cottrell Pavilion,0.5,0,0,0.25,0,0.25,0,0.5,0,0
Deerfield Beach_Mayo Howard Park,0,0,0,0.473684211,0,0.052631579,0,0.736842105,0,0
Deerfield Beach_North Crystal Heights,0,0,0,0,0,0,0,1,0,0
Deerfield Beach_Oveta McKeithen Recreational Complex,0,0,0,0.75,0,0,0,0.25,0,0
Deerfield Beach_Pastor Willie James Ford Sr. Linear Park,0,0,0,0,0,0,0,1,0,0
Deerfield Beach_Pioneer Park,0.137254902,0,0,0.37254902,0,0.098039216,0.009803922,0.607843137,0,0
Deerfield Beach_Sullivan Park,0.310679612,0,0,0.631067961,0,0.121359223,0,0.27184466,0,0.009708738
Deerfield Beach_Teen Center,0,0,0,0.5,0,0,0,0.5,0,0
Deerfield Beach_Tivoli Sand Pines Preserve,0.5,0,0,0.5,0,0,0,1,0,0
Deerfield Beach_Trailhead Park,0.666666667,0,0,0.333333333,0,0,0,0.333333333,0,0
Deerfield Beach_Villages of Hillsboro Park,0.142857143,0,0,0.595238095,0,0.095238095,0,0.69047619,0,0
Fort Lauderdale_Ann Herman Park,0,0,0,0.428571429,0,0.285714286,0,0.857142857,0,0
Fort Lauderdale_Annie Beck Park,0.5,0,0,0.342105263,0,0.131578947,0,0.263157895,0,0
Fort Lauderdale_Bass Park,0.285714286,0,0.142857143,0.285714286,0,0,0,0.285714286,0,0
Fort Lauderdale_Bayview Park,0.2,0.04,0,0.6,0.04,0.08,0,0.56,0,0
Fort Lauderdale_Beach Community Center,0.125,0,0,0.375,0,0.125,0,0.375,0,0
Fort Lauderdale_Benenson Park,0,0,0,0,0,0,0,1,0,0
Fort Lauderdale_Bill Keith Preserve,0.358974359,0,0.025641026,0.282051282,0.025641026,0.179487179,0,0.358974359,0,0
Fort Lauderdale_Bryant Peney Park,0,0,0,0.866666667,0.066666667,0.066666667,0,0.066666667,0,0
Fort Lauderdale_Bubier Park,0.324324324,0,0,0.252252252,0,0.108108108,0.018018018,0.513513514,0,0
Fort Lauderdale_Carter Park-Sunland Park,0.106557377,0,0.016393443,0.262295082,0.016393443,0.098360656,0,0.68852459,0,0
Fort Lauderdale_Cliff Lake Park,0.714285714,0,0,0,0,0.142857143,0,0.571428571,0,0
Fort Lauderdale_Colee Hammock Park,0.630573248,0,0.006369427,0.286624204,0.006369427,0.146496815,0.01910828,0.184713376,0,0.012738854
Fort Lauderdale_Coontie Hatchee Park,0.357142857,0.017857143,0,0.607142857,0,0.071428571,0,0.375,0,0
Fort Lauderdale_D.C. Alexander Park,0.55,0,0,0.2,0,0.1,0,0.3,0,0
Fort Lauderdale_Dottie Mancini Park,0.045454545,0,0,0.681818182,0,0.045454545,0,0.545454545,0,0
Fort Lauderdale_Earl Lifshey Park,0.683673469,0.010204082,0.010204082,0.102040816,0,0.071428571,0.020408163,0.255102041,0,0
Fort Lauderdale_Esplanade Park,0.405286344,0,0.026431718,0.211453744,0,0.118942731,0.013215859,0.440528634,0,0.004405286
Fort Lauderdale_Esterre Davis Wright Park,0.2,0,0,0.4,0,0,0,0.6,0,0
Fort Lauderdale_Flamingo Park,0.333333333,0,0,0.333333333,0,0,0,1,0,0
Fort Lauderdale_Florence C. Hardy Park,0.117021277,0,0.010638298,0.617021277,0,0.063829787,0,0.5,0,0
Fort Lauderdale_Floyd Hull Stadium,0.166666667,0,0,0.333333333,0,0,0,0.666666667,0,0
Fort Lauderdale_Fort Lauderdale Beach Park,0.637071651,0.004672897,0.003115265,0.286604361,0.004672897,0.137071651,0.00623053,0.528037383,0.00623053,0.001557632
Fort Lauderdale_George English Park,0.240740741,0,0,0.361111111,0,0.083333333,0,0.611111111,0,0
Fort Lauderdale_Gore Betz Park,0,0,0,0.666666667,0,0.166666667,0,0.583333333,0,0
Fort Lauderdale_Harbordale Park,0.25,0,0,0.625,0,0.125,0.0625,0.375,0,0
Fort Lauderdale_Holiday Park,0.141891892,0.003378378,0.013513514,0.540540541,0.003378378,0.070945946,0,0.591216216,0,0
Fort Lauderdale_Hortt Park,0.307692308,0,0,0.538461538,0,0.076923077,0,0.538461538,0,0
Fort Lauderdale_Idlewyld Park-Merle Fogg Park,0,0,0,1,0,1,0,0,0,0
Fort Lauderdale_Las Olas Oceanside Park,0.489361702,0.021276596,0,0.319148936,0.021276596,0.14893617,0,0.255319149,0,0
Fort Lauderdale_Lauderdale Manors Park,0.285714286,0,0,0.142857143,0,0.142857143,0,0.714285714,0,0
Fort Lauderdale_Lewis Landing Park,0.516129032,0.032258065,0.032258065,0.290322581,0,0.193548387,0,0.193548387,0,0
Fort Lauderdale_Lincoln Park,0,0,0,0.5,0,0,0,0.666666667,0,0
Fort Lauderdale_Loggerhead Park,0.701754386,0.00877193,0,0.219298246,0.00877193,0.061403509,0,0.201754386,0,0
Fort Lauderdale_Lu Deaner Park,1,0,0,1,0,0,0,0,0,0
Fort Lauderdale_Mangurian Park-Coral Ridge Country Club,0.208333333,0.041666667,0,0.458333333,0,0,0,0.25,0.041666667,0
Fort Lauderdale_Middle River Terrace Park,0.227272727,0,0.045454545,0.363636364,0,0.045454545,0.045454545,0.590909091,0,0
Fort Lauderdale_Mills Pond Park,0.206896552,0,0,0.137931034,0,0.206896552,0,0.482758621,0.034482759,0
Fort Lauderdale_Northfork Riverfront Park,0.714285714,0,0,0.142857143,0,0,0,0.285714286,0,0
Fort Lauderdale_Osswald Park,0.08974359,0,0.025641026,0.346153846,0,0.064102564,0.012820513,0.628205128,0,0
Fort Lauderdale_Palm Aire Village Park,0.142857143,0,0,0.285714286,0,0,0,0.857142857,0,0
Fort Lauderdale_Peter Feldman Park,0.222222222,0,0,0.666666667,0,0,0,0.333333333,0,0
Fort Lauderdale_Riverland Park,0.132075472,0,0.018867925,0.471698113,0,0.018867925,0,0.622641509,0,0
Fort Lauderdale_Riverland Preserve,0.285714286,0,0,0,0,0.142857143,0,0.857142857,0,0
Fort Lauderdale_Riverland Woods Park,0.2,0,0,0.4,0,0.066666667,0,0.666666667,0,0
Fort Lauderdale_Sailboat Bend Preserve,0.25,0.125,0,0.375,0,0,0,0.75,0.125,0
Fort Lauderdale_Smoker Park,0.5,0,0.035714286,0.285714286,0,0.071428571,0,0.392857143,0,0
Fort Lauderdale_Snyder Park,0.255533199,0.002012072,0.004024145,0.676056338,0.004024145,0.058350101,0.002012072,0.327967807,0,0.006036217
Fort Lauderdale_South Intracoastal Park,0.379310345,0,0,0.448275862,0,0.034482759,0,0.24137931,0,0
Fort Lauderdale_South Middle River Park,0.333333333,0,0,0.666666667,0,0,0,0.333333333,0,0
Fort Lauderdale_Stranahan Park,0.285714286,0,0,0.142857143,0,0.142857143,0,0.571428571,0,0
Fort Lauderdale_Sunset School Park,0,0,0,0,0,0,0,1,0,0
Fort Lauderdale_SW 5th Ct and SW 12th Ave Park,0.083333333,0,0,0.333333333,0,0.166666667,0,0.75,0,0
Fort Lauderdale_Townsend Park,0.333333333,0,0,0.666666667,0,0,0,0.333333333,0,0
Fort Lauderdale_Twin Lakes North Park,0.666666667,0,0,0.333333333,0,0,0,0,0,0
Fort Lauderdale_Victoria Park,0.6,0,0,0.4,0,0.1,0,0.3,0,0
Fort Lauderdale_Vista Park,0.725,0,0,0.075,0,0.075,0,0.25,0,0
Fort Lauderdale_Warfield Park,0.2,0,0.1,0.6,0.1,0,0.1,0.6,0,0
Fort Lauderdale_Willingham Park,1,0,0,0,0,0,0.5,0,0,0
Hallandale Beach_B.F. James Park and Pool,0.192307692,0,0.038461538,0.384615385,0,0,0,0.692307692,0,0
Hallandale Beach_Curci House-Historical Village,0.333333333,0,0,0,0,0.333333333,0.333333333,0,0,0
Hallandale Beach_Foster Park & Plaza,0.428571429,0,0,0.428571429,0,0.142857143,0,0.571428571,0,0
Hallandale Beach_Ingalls Park,0.258064516,0,0,0.338709677,0,0.112903226,0,0.548387097,0,0
Hallandale Beach_Joseph Scavo Park,0.158730159,0,0.007936508,0.611111111,0,0.03968254,0,0.595238095,0,0
Hallandale Beach_OB Johnson Park,0.157894737,0,0.157894737,0.210526316,0,0.105263158,0,0.578947368,0,0
Hallandale Beach_South City Beach Park,0.612244898,0,0.005102041,0.346938776,0,0.081632653,0,0.183673469,0,0.005102041
Hallandale Beach_Sunset Park,0.1,0,0,0.8,0,0.1,0,0.2,0,0
Hollywood_Bicentennial Park,0.380952381,0,0,0.333333333,0,0.047619048,0,0.571428571,0,0
Hollywood_Charles F. Vollman Park,0.473684211,0,0,0.210526316,0,0.052631579,0,0.526315789,0,0
Hollywood_Charnow Park-Historical Paddleball Courts,0.426666667,0,0,0.315555556,0,0.057777778,0.008888889,0.4,0,0
Hollywood_Fletcher Street Park,0,0,0,0.666666667,0,0,0,0.333333333,0,0
Hollywood_Harry Berry Park,0.62,0.01,0,0.28,0,0.08,0,0.17,0,0
Hollywood_Holland Park,0.426470588,0.004901961,0,0.31372549,0.009803922,0.161764706,0,0.553921569,0,0.009803922
Hollywood_Hollywood West Skate Park,0.428571429,0,0,0.428571429,0,0,0,0.428571429,0,0
Hollywood_Jefferson Park,0.085714286,0,0,0.276190476,0,0.038095238,0.00952381,0.80952381,0,0
Hollywood_Joe DiMaggio Park,0.5,0,0,0.642857143,0,0,0,0.357142857,0,0
Hollywood_John Williams Park-Sheridan Oak Forest,0.289719626,0,0.009345794,0.61682243,0.004672897,0.03271028,0,0.523364486,0,0
