UGS,Aesthetic value(%),Bequest value(%),Educational value(%),Entertainment value(%),Existence value(%),Experiential use(%),Heritage value(%),Physical use(%),Scientific value(%),Symbolic value(%)
Broward_Everglades Holiday Park,0.666735837,0.01929861,0.204191741,0.533720689,0.011620668,0.637684167,0.013073252,0.069101473,0.007262918,0.000207512
Broward_Anne Kolb Nature Center,0.547537228,0.019473081,0.136311569,0.206185567,0.030927835,0.285223368,0.008018328,0.620847652,0.004581901,0.003436426
Broward_Topeekeegee Yugnee Park,0.335329341,0.00239521,0.001197605,0.583233533,0.001197605,0.068263473,0.001197605,0.628742515,0.001197605,0
Broward_Markham Park,0.203679369,0.00131406,0.003942181,0.700394218,0.003942181,0.047306176,0,0.542706965,0.002628121,0
Broward_CB Smith Park,0.204678363,0.001461988,0.007309942,0.701754386,0.001461988,0.083333333,0,0.448830409,0.001461988,0
Broward_Hollywood North Beach Park,0.584615385,0,0.004615385,0.216923077,0.003076923,0.073846154,0.003076923,0.410769231,0.003076923,0
Fort Lauderdale_Fort Lauderdale Beach Park,0.637071651,0.004672897,0.003115265,0.286604361,0.004672897,0.137071651,0.00623053,0.528037383,0.00623053,0.001557632
Broward_Fern Forest Nature Center,0.4256,0.0064,0.0432,0.1328,0.0096,0.0848,0,0.6848,0,0.0032
Broward_Tree Tops Park,0.42394822,0,0.004854369,0.469255663,0.009708738,0.111650485,0.004854369,0.627831715,0,0.004854369
Broward_Vista View Park,0.287356322,0.001642036,0.003284072,0.374384236,0.001642036,0.055829228,0,0.653530378,0.001642036,0.003284072
Broward_Secret Woods Park,0.521008403,0.001680672,0.068907563,0.134453782,0.013445378,0.084033613,0.008403361,0.635294118,0.003361345,0.01512605
Broward_West Lake Park,0.330241187,0.003710575,0.014842301,0.480519481,0.003710575,0.094619666,0.001855288,0.499072356,0.001855288,0
Fort Lauderdale_Snyder Park,0.255533199,0.002012072,0.004024145,0.676056338,0.004024145,0.058350101,0.002012072,0.327967807,0,0.006036217
Plantation_Plantation Central Park,0.149606299,0,0.002624672,0.296587927,0,0.034120735,0,0.748031496,0,0
Broward_Quiet Waters Park,0.211081794,0,0.013192612,0.65171504,0.007915567,0.068601583,0.002638522,0.559366755,0,0.002638522
Davie_Wolf Lake Park,0.43902439,0.00304878,0,0.268292683,0.009146341,0.079268293,0,0.582317073,0,0.012195122
Fort Lauderdale_Holiday Park,0.141891892,0.003378378,0.013513514,0.540540541,0.003378378,0.070945946,0,0.591216216,0,0
North Lauderdale_Hampton Pines Park,0.235087719,0.003508772,0,0.357894737,0.007017544,0.10877193,0,0.698245614,0.003508772,0
Broward_Plantation Heritage Park,0.230496454,0.003546099,0.010638298,0.531914894,0,0.042553191,0,0.45035461,0,0
