UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor
Broward_Anne Kolb Nature Center,0.062734653,0.020107349,0.030182197,0.131099806,0.062935263,0.012345315,0.040887106,0.041598754,0.003064445,0.004493525,0.181588529,0.00705801,0.005482766,0.000578492,0,0.119908442,0.052292187,0.547537228,0.451115097,0.096422132,0.540511632,0.007025596,0.038518307,0.464956213,1,Body_of_water
Broward_Boulevard Gardens Community Center,0.028722494,0.017901186,0.017928006,0.044950044,0.036829956,0,0.023851746,0.055464783,0.000381237,0.028667027,0.009385255,0.070844814,0.024434557,0.00023341,0,0.007719661,0.021477934,0,0.17051502,-0.17051502,0.016260008,-0.016260008,0.032336868,-0.028913366,1,Jog_Walk_path
Broward_Brian Piccolo Sports Park & Velodrome,0.232834271,0.228765041,0.188811819,0.008247772,0.058108205,0,0.212738286,0.145322969,0.006198511,0.013075089,0.012379997,0.046516998,0.018196634,0,0.002103931,0.010209342,0.106392956,0.129213483,0.300812924,-0.171599441,0.166604981,-0.037391498,0.16258731,-0.709057509,1,area
Broward_CB Smith Park,0.022456229,0.016512527,0.021688766,0.002204508,0.005786208,0,0.01034513,0.027651688,0.002168834,0.001527328,0.002180666,0.000844125,0.001444153,0,0,0.002681405,0.008680897,0.204678363,0.153846154,0.050832209,0.201376504,0.003301859,0.019192728,0.165072844,1,mean_ndwi
Broward_Central Broward Regional Park,0.011444246,0.029454831,0.006747347,0.000311071,0.000897005,0,0.032813011,0.028305973,0.011094561,0.007080201,0.004660493,0.00098824,0.011171885,0,0,0.001714162,0.03983854,0.15819209,0.219165023,-0.060972933,0.165270446,-0.007078356,0.02699101,0.011204699,1,Biodiversity
Broward_Crystal Lake Sand Pine Scrub,0.018915267,0.017965502,0.048489662,0,0.014087227,0,0.048330448,0.035647913,0.019661015,0.004881447,0,0.002893678,0.00233375,0.014372348,0,0,0.035003456,0.275862069,0.326557274,-0.050695205,0.278777099,-0.00291503,0.047917179,-0.487478726,1,grassland
Broward_Deerfield Highlands Nature Preserve,0.059106717,0.05923027,0.059546308,0,0.009726589,0,0.031148769,0.042793413,0.018582756,0.006766953,0,0.009367271,0.003348546,0.005419181,0.00523597,0.0132867,0.031300743,0.25,0.325457504,-0.075457504,0.248804508,0.001195492,0.031151196,0.153681156,1,grassland
Broward_Deerfield Island Park,0.056930231,0.031740029,0.153112566,0.027815288,0.030577596,0,0.042626553,0.081219237,0.023509527,0.026912617,0.00942975,0.048274196,0.00666574,0.004737396,0.000467053,0.002571648,0.055429229,0.532110092,0.262521962,0.26958813,0.501594681,0.030515411,0.040687998,0.102296277,1,grassland
Broward_Easterlin Park,0.049002393,0.056006161,0.03232568,0.015183742,0.033908231,0,0.11745639,0.037473545,0.004854493,0.004706178,0.008277573,0.023755586,0.004272778,0.003724341,0,0.013844627,0.086330834,0.403225806,0.262307515,0.140918291,0.361380878,0.041844928,0.052859338,-0.421186444,1,mean_ndvi
Broward_Everglades Holiday Park,0.015099401,0.036857141,0.015392221,0.160759532,0.081980383,0,0.149248973,0.049778927,0.004238913,0.008905726,0.157386939,0.009470949,0.019866234,0.001782404,0.002671284,0,0.125582074,0.666735837,0.383481013,0.283254825,0.63744429,0.029291547,0.01731586,0.552315519,1,water
