UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor
Broward_Anne Kolb Nature Center,0.00011019,1.82E-05,5.42E-05,0.000126653,3.20E-05,8.06E-05,3.55E-05,7.88E-05,2.28E-06,1.68E-05,4.07E-06,1.29E-05,1.83E-05,0.000109598,0,2.22E-06,0.000126252,0.019473081,0.001112525,0.018360556,0.017520758,0.001952323,5.55E-05,-0.325170908,1,water
Broward_Boulevard Gardens Community Center,4.56E-06,0,0,0,0,0,0,0.000214193,3.39E-05,3.39E-05,0,0,0,0.00021875,0,0,7.29E-05,0,0,0,0,0,0.001041703,-3.48E-05,1,Nature_Preserve
Broward_Brian Piccolo Sports Park & Velodrome,9.17E-06,8.38E-06,7.61E-06,8.09E-06,4.07E-06,0,8.93E-06,5.82E-06,6.21E-06,1.32E-05,0,1.52E-06,3.05E-07,0,6.57E-06,5.00E-08,3.38E-05,0,0.007407408,-0.007407408,0.001427329,-0.001427329,0.000101664,-0.11543896,1,Biodiversity
Broward_CB Smith Park,0.001319014,0.00227329,0.001683764,0.000648945,0.001282669,0,0.001287267,0.001128742,0.000502769,7.96E-05,0.000411241,0.000327042,9.69E-05,0,0,0.000195692,0.002314323,0.001461988,0.018518519,-0.017056531,0.004329711,-0.002867723,0.000883805,-0.749777453,1,Biodiversity
Broward_Central Broward Regional Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Broward_Crystal Lake Sand Pine Scrub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,3,
Broward_Deerfield Highlands Nature Preserve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Broward_Deerfield Island Park,2.22E-05,1.54E-05,1.77E-06,3.64E-05,1.43E-05,0,2.64E-05,1.94E-05,0,4.15E-06,9.70E-07,2.21E-07,3.93E-07,0,0,0,2.33E-05,0.009174312,0,0.009174312,0.008614679,0.000559633,6.15E-06,-0.095385855,1,water
Broward_Easterlin Park,0.000147413,8.82E-05,0.000388889,0,8.26E-05,0,0.000290123,0.002446502,2.06E-06,0.00030629,3.60E-05,0,0,0.001890946,0,0,0.0018107,0,0.002178649,-0.002178649,0.000435185,-0.000435185,0.000951626,-0.156226076,1,mean_ndwi
Broward_Everglades Holiday Park,3.14E-05,0.00011328,4.09E-05,7.43E-05,9.37E-05,0,0.000136817,0.0001423,1.29E-07,6.00E-06,5.79E-05,1.12E-05,1.30E-06,2.22E-06,3.65E-06,0,0.00016756,0.01929861,0.003164557,0.016134053,0.018626508,0.000672102,2.79E-05,-0.004988341,1,Biodiversity
Broward_Fern Forest Nature Center,1.60E-05,1.69E-05,9.28E-07,0,1.16E-06,0,2.15E-05,3.35E-05,0,3.84E-06,0,2.48E-06,1.24E-06,4.97E-06,0,6.83E-09,1.14E-05,0.0064,0,0.0064,0.005992533,0.000407467,0.00013928,-0.011464807,1,mean_ndwi
