UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor
Broward_Anne Kolb Nature Center,0.024996058,0.003386573,0.003215579,0.009039276,0.003136298,0.004475729,0.004475493,0.005402732,2.44E-05,0.001001144,0.007394186,0.000691039,0.001679244,0.004015445,0,0.009422085,0.004616234,0.136311569,0.005818389,0.13049318,0.12190127,0.014410299,0.00864768,-0.746802865,1,area
Broward_Boulevard Gardens Community Center,2.13E-05,4.79E-05,6.00E-05,3.33E-07,0,0,1.51E-05,5.21E-06,0,0,5.93E-08,0,0,0,0,3.03E-06,8.51E-06,0,0.004716981,-0.004716981,0.000207547,-0.000207547,4.17E-05,0.040703543,1,grassland
Broward_Brian Piccolo Sports Park & Velodrome,1.23E-05,9.41E-06,8.10E-06,6.47E-06,8.50E-06,0,8.08E-07,5.73E-07,2.10E-07,2.63E-09,4.58E-06,1.58E-08,2.63E-09,0,0,4.04E-06,9.92E-07,0.005617978,0,0.005617978,0.005006087,0.000611891,2.49E-06,-0.18273955,1,area
Broward_CB Smith Park,1.96E-05,2.15E-05,2.23E-05,1.84E-05,2.02E-05,0,1.63E-05,0,4.95E-07,3.56E-07,8.76E-06,1.06E-06,0,0,0,8.62E-06,6.46E-06,0.007309942,0,0.007309942,0.007108309,0.000201633,4.00E-06,-0.121731541,1,grassland
Broward_Central Broward Regional Park,8.66E-05,2.25E-05,6.93E-05,3.20E-05,4.98E-05,0,1.39E-05,0.000105716,7.60E-08,9.55E-06,1.57E-05,4.26E-07,0,0,0,2.23E-06,0.000103478,0.011299435,0,0.011299435,0.009976583,0.001322852,0.001427103,-0.047261366,1,mean_ndwi
Broward_Crystal Lake Sand Pine Scrub,0.008636025,0.007901805,0.00099458,0,0.001195188,0,0.003159695,0.003858661,0.000489953,0.000688443,0,0.002279753,4.19E-05,0.000556292,0,0,0.002344894,0.103448276,0.086956522,0.016491754,0.100783217,0.002665059,0.000706662,0.383182445,3,area
Broward_Deerfield Highlands Nature Preserve,0.007389292,0.006120788,0.001575772,0,0.000340382,0,0.001534154,0.001493061,0.000124087,0.001181911,0,0.000417719,0.000109263,0.000274566,0,4.99E-05,0.003576613,0,0.036266867,-0.036266867,0.001035982,-0.001035982,0.001482915,-0.310156705,1,area
Broward_Deerfield Island Park,0.001085655,0.000756109,8.68E-05,0.001784418,0.000700432,0,0.00129203,0.000949924,0,0.000203282,4.75E-05,1.08E-05,1.92E-05,0,0,0,0.001143787,0.064220183,0,0.064220183,0.060302752,0.003917431,0.000301175,-0.095385855,1,water
Broward_Easterlin Park,0.001258104,0.001101508,0.000595672,0.000234418,0.000915366,0,0.000485285,0.002006305,0.000951375,0.002745033,0.000581669,0.000193233,0.000511056,0.001560553,0,0.000126429,0.001534253,0.008064516,0.032460311,-0.024395795,0.013581929,-0.005517413,0.002307779,-0.053297671,1,Kids_Playground
Broward_Everglades Holiday Park,0.006191026,0.026454619,0.018723866,0.002708196,0.003713216,0,0.008298723,0.010484145,0.000256782,0.001752604,0.003122244,0.006147561,0.004561741,5.09E-05,6.23E-05,0.000180583,0.019952142,0.204191741,0.113844937,0.090346804,0.199484583,0.004707158,0.005470177,-0.134307348,1,tree
Broward_Fern Forest Nature Center,0.003770649,0.003229733,0.001594165,0,0.000395448,0,0.00141213,0.001694546,5.51E-05,0.004263403,2.14E-05,0.000173784,0.000595733,0.003768699,0.000117542,4.54E-05,0.000750941,0.0432,0.100198413,-0.056998413,0.068083317,-0.024883317,0.002070226,0.078485679,1,Kids_Playground
Broward_Franklin Park,0.000287663,0.000136772,0.000427346,1.30E-06,5.81E-06,0,0.000796806,0.000163493,1.10E-06,2.13E-08,2.92E-06,0.001534633,8.96E-08,0,0,5.01E-05,0.000474436,0,0.034809453,-0.034809453,0.00479564,-0.00479564,0.001520872,-0.128636126,1,Jog_Walk_path
Broward_Helene Klein Pineland Preserve,0.002047601,0.002640729,0.001109263,1.70E-05,0.000130651,0,0.003553498,0.001480159,0.000212352,0.000215365,0.000185533,0,0.000727825,0.000109249,0.000272302,0.000481627,0.001449647,0,0.063188736,-0.063188736,0.015160621,-0.015160621,0.00265471,-0.37178651,1,mean_ndvi
Broward_Herman and Dorothy Shooster Nature Preserve,0.0053777,0.005274541,0.003169545,0,0.000570816,0,0.004358991,0.003653625,4.90E-05,0.012663143,3.69E-06,0.000430304,0.000439113,0.002360454,1.28E-05,1.26E-05,0.002205664,0.166666667,0.037679218,0.128987449,0.120083763,0.046582904,0.002751034,-0.224560631,1,Kids_Playground
Broward_Highlands Scrub Natural Area,0.005599486,0.005411966,0.001303456,0,0,0,0.000792183,0.000994433,0.000161411,0.002028709,0,0.000559224,0.000331592,0.000640805,0,0,0.003351019,0.086956522,0.077586207,0.009370315,0.084328175,0.002628347,0.000975744,0.159374019,1,area
Broward_Hollywood North Beach Park,0.01689645,0.00343701,0.002926036,0.006435515,0.002865726,0.00250505,0.003124657,0.006200322,2.89E-05,0.000767775,0.009012133,0.000535345,0.000355778,0.003515205,0,0.004599048,0.004400138,0.004615385,0.057495893,-0.052880508,0.015830893,-0.011215508,0.007598453,-0.54865435,1,area
Broward_Kristin Jacobs Natural Area at Hillsboro Pineland,0.001495439,0.00371098,0.00241736,4.53E-05,0.000426872,0,0.005042509,0.003648849,0.000248171,0.000545168,0.000257444,0.000391357,0.000784469,0.000513677,4.71E-05,8.67E-05,0.003808575,0.054054054,0.029609524,0.02444453,0.048592857,0.005461197,0.00281324,-0.453705,1,mean_ndvi
Broward_Lafayette Hart Park,0.000396123,0.000105814,0.00024373,2.01E-06,5.53E-05,0,0.000360615,0.000168288,1.80E-06,2.06E-06,1.59E-05,0.001771126,1.83E-08,0,0,6.15E-05,0.000805825,0,0.00952381,-0.00952381,0.002582728,-0.002582728,0.001441494,-0.069729822,1,Jog_Walk_path
Broward_Long Key Natural Area and Nature Center,0.00246,0.00625733,0.002045994,7.44E-07,0.001875958,0,0.008932115,0.001240674,5.69E-08,0.000532789,0.001617339,2.82E-05,1.11E-07,0.00449732,5.70E-05,0.000117929,0.003624276,0.135964912,0.00463153,0.131333382,0.117434525,0.018530387,0.001697272,-0.395715228,1,mean_ndvi
Broward_Markham Park,4.67E-05,5.92E-05,0.00021473,1.86E-05,3.68E-05,0,2.52E-05,0.000143731,1.14E-06,4.70E-06,6.26E-06,3.88E-07,2.40E-05,0,3.32E-05,1.25E-05,4.01E-05,0.003942181,0.010756124,-0.006813943,0.005424962,-0.001482781,9.45E-05,-0.196491881,1,grassland
Broward_Military Trail Nature Area,0.005084565,0.004535567,0.001506907,0,0.000113699,0,0.000725532,0.000904394,0.000441763,0.000493556,0,0.000363977,1.53E-05,0.000323533,1.81E-05,4.45E-05,0.000960668,0,0.070756289,-0.070756289,0.003932159,-0.003932159,0.001394341,-0.238845652,1,area
