UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor,,variable,number,proportion
Broward_Anne Kolb Nature Center,0.0508186,0.018003383,0.028238323,0.022968924,0.012752723,0.002879638,0.030489454,0.024057729,0.006070725,0.01914435,0.008767105,0.001533053,0.027113071,0.000172254,0,0.00643999,0.007918591,0.206185567,0.300347996,-0.094162429,0.22228058,-0.016095013,0.026624559,0.196232824,1,area,,area,96,0.225352113
Broward_Boulevard Gardens Community Center,0.091609156,0.042438553,0.104888317,0.063366604,0.077183163,0,0.127044914,0.103317076,0.00161699,0.029085448,0.016748639,0.018984095,0.006076781,0,0,0.008156815,0.074703446,0.75,0.514285714,0.235714286,0.732490925,0.017509075,0.095969429,-0.830025353,1,mean_ndvi,,tree,63,0.147887324
Broward_Brian Piccolo Sports Park & Velodrome,0.088541851,0.139171967,0.097330119,0.008846381,0.036766322,0,0.120194963,0.152799895,0.000794058,0.014473543,0.008787093,0.025751193,0.014283508,0,0.014203474,0.013876231,0.105052865,0.325842697,0.400524605,-0.074681908,0.334456356,-0.008613659,0.100838615,-0.322767833,1,mean_ndwi,,mean_ndwi,56,0.131455399
Broward_CB Smith Park,0.059134666,0.092087271,0.070498441,0.046189211,0.107613665,0,0.112581092,0.015931549,0.006570927,0.002186477,0.00661783,0.000232667,0.007699589,0,0,0.006910322,0.078649332,0.701754386,0.703703704,-0.001949318,0.704651667,-0.002897281,0.052667851,0.056569627,1,mean_ndvi,,mean_ndvi,53,0.124413146
Broward_Central Broward Regional Park,0.055390954,0.072846186,0.050804427,0.00264376,0.011177425,0,0.060000652,0.091814777,0.0040247,0.009682065,0.023035353,0.002375886,0.002596418,0,0,0.006712608,0.032830498,0.333333333,0.552075702,-0.218742369,0.345552408,-0.012219075,0.071963816,-0.426983809,1,mean_ndwi,,Biodiversity,51,0.11971831
Broward_Crystal Lake Sand Pine Scrub,0.090774025,0.108619887,0.007841898,0,0.003918848,0,0.058900609,0.065167191,0.004620222,0.014733117,0,0.101079661,0.002303237,0.008850341,0,0,0.065343288,0.172413793,0.043478261,0.128935532,0.162038417,0.010375376,0.034983453,0.425144792,3,tree,,grassland,35,0.082159624
Broward_Deerfield Highlands Nature Preserve,0.153623564,0.092541303,0.051254135,0,0.009660193,0,0.081613258,0.059153241,0.005193274,0.037650879,0,0.051043032,0.013456794,0.002045047,0.002799245,0.006167063,0.199600644,0.5,0.240576848,0.259423152,0.494624453,0.005375547,0.089406614,0.061626452,1,Biodiversity,,Kids_Playground,31,0.072769953
Broward_Deerfield Island Park,0.089302147,0.168163902,0.058512389,0.013932481,0.020471733,0,0.032766133,0.0399106,0.105008314,0.070396244,0.017272009,0.00733334,0.015415263,0.001870359,0.010010037,0.014907288,0.059780461,0.431192661,0.567793298,-0.136600637,0.446117825,-0.014925164,0.059605222,0.154869381,1,tree,,Athletic_facility,19,0.044600939
Broward_Easterlin Park,0.038901531,0.037023129,0.050501326,0.015975279,0.025576761,0,0.058802704,0.053437025,0.004796433,0.026637968,0.004096391,0.009821442,0.011655208,0.000318909,0,0.022326371,0.042311214,0.616935484,0.183978746,0.432956738,0.541747198,0.075188286,0.055462055,-0.501008782,1,mean_ndvi,,herbaceous_wetland,7,0.016431925
Broward_Everglades Holiday Park,0.054007023,0.081829173,0.051230027,0.014237264,0.083283612,0,0.037397698,0.067432279,0.004327137,0.013970578,0.006205165,0.015678394,0.017242353,0.012050292,0.01268726,0.002587202,0.058359897,0.533720689,0.08,0.453720689,0.538320723,-0.004600034,0.09216206,-0.941996055,1,herbaceous_wetland,,Pavilion_Picnic_Area,5,0.011737089
Broward_Fern Forest Nature Center,0.094224908,0.079987633,0.075048475,0,0.031797546,0,0.06282019,0.078486255,0.006814006,0.03124586,0.034207699,0.010221841,0.106546783,0.029769537,0.002852256,0.006396252,0.062753546,0.1328,0.348184223,-0.215384223,0.148050013,-0.015250013,0.101717621,-0.217202774,1,Athletic_facility,,Jog_Walk_path,3,0.007042254
Broward_Franklin Park,0.123150324,0.058871664,0.147686224,0.020338065,0.042828644,0,0.175465848,0.07055784,0.000173507,0.014866475,0.002347216,0.040221808,0.004694688,0,0,0.017051514,0.091380344,0.666666667,0.463868793,0.202797874,0.656284184,0.010382483,0.082066754,-0.323694858,1,mean_ndvi,,Indoor_Outdoor_fitness_center,3,0.007042254
Broward_Helene Klein Pineland Preserve,0.014742321,0.068665261,0.067290004,0.003452695,0.007877538,0,0.13522787,0.090740203,0.007650695,0.027528889,0.007468313,0.080795158,0.009023695,0.023056128,0.002435182,0.000503055,0.019236605,0.305555556,0.134366867,0.171188689,0.273565293,0.031990263,0.037387768,0.116976862,1,mean_ndvi,,water,2,0.004694836
