UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor
Broward_Anne Kolb Nature Center,0.00146555,0.001091372,0.001616059,0.001302173,0.002522346,0.000730358,0.002134632,0.001003,0.003264457,8.43E-05,4.70E-05,0.001694271,3.13E-06,0.000116711,0,1.69E-05,0.001665723,0.030927835,0.030193437,0.000734398,0.029364137,0.001563698,0.00202955,-0.490137594,1,Pavilion_Picnic_Area
Broward_Boulevard Gardens Community Center,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79E-05,0,1,area
Broward_Brian Piccolo Sports Park & Velodrome,1.23E-05,9.41E-06,8.10E-06,6.47E-06,8.50E-06,0,8.08E-07,5.73E-07,2.10E-07,2.63E-09,4.58E-06,1.58E-08,2.63E-09,0,0,4.04E-06,9.92E-07,0.005617978,0,0.005617978,0.005006087,0.000611891,2.49E-06,-0.18273955,1,area
Broward_CB Smith Park,7.84E-07,8.61E-07,8.92E-07,7.36E-07,8.07E-07,0,6.51E-07,0,1.98E-08,1.42E-08,3.50E-07,4.24E-08,0,0,0,3.45E-07,2.58E-07,0.001461988,0,0.001461988,0.001421661,4.03E-05,1.60E-07,-0.121731541,1,grassland
Broward_Central Broward Regional Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Broward_Crystal Lake Sand Pine Scrub,0.00136151,0.001240209,0.00022957,0,0.000139418,0,0.000514159,0.000573942,4.22E-05,9.12E-05,0,0.00037459,8.28E-06,8.95E-05,0,0,0.000420594,0.034482759,0.043478261,-0.008995502,0.034958789,-0.00047603,0.000132569,0.305979761,3,area
Broward_Deerfield Highlands Nature Preserve,0.001321772,0.001022174,0.000417691,0,4.12E-05,0,0.000256282,0.000245732,1.89E-05,0.00018338,0,7.64E-05,2.48E-05,6.35E-05,0,9.94E-06,0.000656244,0,0.016581709,-0.016581709,0.000526612,-0.000526612,0.000251327,-0.315739186,1,area
Broward_Deerfield Island Park,2.22E-05,1.54E-05,1.77E-06,3.64E-05,1.43E-05,0,2.64E-05,1.94E-05,0,4.15E-06,9.70E-07,2.21E-07,3.93E-07,0,0,0,2.33E-05,0.009174312,0,0.009174312,0.008614679,0.000559633,6.15E-06,-0.095385855,1,water
Broward_Easterlin Park,7.50E-06,9.75E-06,7.91E-07,9.18E-06,8.45E-06,0,2.41E-05,1.17E-05,9.91E-08,3.13E-07,1.95E-06,2.02E-07,1.74E-06,0,0,0,2.06E-05,0.008064516,0,0.008064516,0.006180107,0.001884409,6.74E-06,-0.553834008,1,mean_ndvi
Broward_Everglades Holiday Park,0.000127634,0.000112208,0.000123026,2.55E-05,8.95E-05,0,0.000130898,8.00E-05,1.66E-05,8.27E-05,4.07E-05,7.95E-05,0.000115827,2.30E-06,6.35E-05,0,0.000132178,0.011620668,0.01681736,-0.005196692,0.011820902,-0.000200234,0.000118909,-0.798953011,1,Biodiversity
