UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor,,variable,number,proportion
Broward_Anne Kolb Nature Center,0.020650366,0.001963768,0.007534193,0.017540217,0.004774376,0.015856659,0.005386584,0.018031075,0.000526285,9.55E-05,0.001029918,0.000961191,0.000446526,0.017075585,0,0.00111447,0.012221647,0.285223368,0.080800458,0.20442291,0.262832823,0.022390545,0.004980811,0.260898608,1,area,,area,92,0.215962441
Broward_Boulevard Gardens Community Center,0.020247769,0.010535616,0.013490841,0.001548703,0.002186117,0,0.03100212,0.030618783,0.000377407,9.19E-05,0.001419277,0.000149189,0.000793015,0,0,0.003885189,0.012133508,0.25,0,0.25,0.225664654,0.024335346,0.011397789,-0.948993884,1,mean_ndvi,,tree,62,0.145539906
Broward_Brian Piccolo Sports Park & Velodrome,0.002308225,0.001653534,0.002108011,0.000639068,0.001039089,0,0.001707128,0.003393322,0.001047711,0.001434936,0.000195371,9.77E-05,0.000343779,0,0.000443752,0.001630946,0.003274714,0.039325843,0.033565758,0.005760085,0.040526218,-0.001200375,0.003729108,-0.49970199,1,mean_ndwi,,grassland,55,0.129107981
Broward_CB Smith Park,0.004364512,0.001644732,0.004261264,0.000523367,0.002369049,0,0.003668086,0.006370105,0.001042047,0.000775861,0.000135579,0.000156486,0.000309599,0,0,0.000184907,0.004690852,0.083333333,0,0.083333333,0.080591195,0.002742138,0.004489617,-0.111125087,1,mean_ndwi,,Biodiversity,55,0.129107981
Broward_Central Broward Regional Park,0.004851759,0.018498496,0.011880572,0.000560212,0.000658217,0,0.009755028,0.005049748,0.000134083,0.000345355,0.000381881,0.000201454,9.43E-05,0,0,0.001395524,0.008590643,0.062146893,0.087301587,-0.025154694,0.069485814,-0.007338921,0.010944218,0.025190224,1,tree,,mean_ndvi,54,0.126760563
Broward_Crystal Lake Sand Pine Scrub,0.016235229,0.014873955,0.01621935,0,0.000180719,0,0.013863795,0.015152418,0.005457991,0.004652245,0,0.00041341,0.000539285,0.005209089,0,0,0.011451742,0,0.173913043,-0.173913043,0.001832706,-0.001832706,0.011004023,-1.025036641,3,area,,mean_ndwi,49,0.115023474
Broward_Deerfield Highlands Nature Preserve,0.017557772,0.005147419,0.010548932,0,0.000277952,0,0.00360283,0.003935102,0.001842882,0.001071366,0,0.001864223,0.000672138,8.39E-05,0.000133111,6.39E-05,0.005084668,0,0.106812181,-0.106812181,0.007501291,-0.007501291,0.003372127,-0.439384542,1,area,,herbaceous_wetland,16,0.037558685
Broward_Deerfield Island Park,0.020700083,0.010793734,0.01290146,0.017741425,0.006815211,0,0.015231597,0.022086033,0.002794251,0.007926542,0.003792981,0.009347826,0.004880303,0.000454573,0.000285262,0.000242365,0.022867354,0.293577982,0.067130198,0.226447784,0.276955411,0.016622571,0.011372966,-0.265350584,1,Biodiversity,,Pavilion_Picnic_Area,9,0.021126761
Broward_Easterlin Park,0.011663363,0.005270567,0.006581105,0.003151633,0.004167319,0,0.002805413,0.011070474,0.000916401,0.005198839,0.007462294,0.01612027,0.000298419,0.000156018,0,0.00056307,0.002869731,0.036290323,0.123709214,-0.087418891,0.059447462,-0.023157139,0.008840011,-0.504828309,1,Jog_Walk_path,,Jog_Walk_path,7,0.016431925
Broward_Everglades Holiday Park,0.023478537,0.125968655,0.053581728,0.044295484,0.046351903,0,0.121853933,0.150180127,0.018674045,0.008007681,0.036859047,0.020188262,0.023957968,0.004135185,0.004929293,5.27E-05,0.208421498,0.637684167,0.16,0.477684167,0.605959014,0.031725153,0.061011876,-0.26112294,1,Biodiversity,,Indoor_Outdoor_fitness_center,7,0.016431925
Broward_Fern Forest Nature Center,0.002790758,0.00298395,0.001059312,0,0.000588986,0,0.002904471,0.002548137,0.000280688,0.000338725,0.000101869,0.000348025,0.00084838,0.000252891,0.000591216,0.000225765,0.001831321,0.0848,0.007738095,0.077061905,0.077878058,0.006921942,0.003975502,-0.227994476,1,tree,,water,6,0.014084507
