UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor
Broward_Anne Kolb Nature Center,1.97E-05,4.90E-06,6.83E-06,1.92E-05,5.62E-06,1.40E-05,3.73E-06,1.61E-05,4.56E-07,2.08E-07,6.40E-07,3.87E-07,1.49E-06,1.83E-05,0,1.48E-06,1.08E-05,0.008018328,0.002208763,0.005809565,0.007291001,0.000727327,9.68E-06,-0.089373477,1,area
Broward_Boulevard Gardens Community Center,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Broward_Brian Piccolo Sports Park & Velodrome,2.83E-05,1.79E-05,3.05E-05,3.11E-05,1.11E-05,0,3.24E-05,0.000150173,0,3.64E-05,9.83E-06,1.04E-06,2.70E-05,0,0,3.54E-05,3.87E-05,0,0.003070175,-0.003070175,0.001504386,-0.001504386,5.36E-05,-0.160591832,1,mean_ndwi
Broward_CB Smith Park,2.65E-05,1.07E-06,1.10E-05,5.19E-06,3.40E-06,0,8.77E-05,5.61E-05,0,1.86E-05,2.89E-06,0,2.52E-05,0,0,6.12E-06,2.75E-05,0,0,0,0.000267544,-0.000267544,5.46E-05,-0.183171951,1,mean_ndvi
Broward_Central Broward Regional Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Broward_Crystal Lake Sand Pine Scrub,0.001134125,0.000271252,0.000954151,0,2.43E-06,0,0.000455547,0.000441739,0.000111191,4.77E-05,0,4.81E-05,3.28E-06,2.66E-05,0,0,0.000345951,0,0.043478261,-0.043478261,0.00102795,-0.00102795,0.000349786,-0.782170199,3,area
Broward_Deerfield Highlands Nature Preserve,0.001145749,0.000401971,0.000729232,0,5.60E-06,0,0.000172259,0.00022223,0.000112199,9.27E-05,0,4.11E-05,1.50E-05,1.71E-05,0,0,0.000256875,0,0.017391304,-0.017391304,0.000605072,-0.000605072,0.000166192,-0.318735972,1,area
Broward_Deerfield Island Park,0.018837522,0.040108678,0.030002663,0.002118585,0.005581172,0,0.021521376,0.013282762,0.081249341,0.007292161,0.000995348,0.001397951,0.004225794,8.58E-09,0,0,0.011558977,0.036697248,0.063112745,-0.026415497,0.045970319,-0.009273071,0.025216789,-0.524779281,1,Pavilion_Picnic_Area
Broward_Easterlin Park,2.63E-05,2.80E-05,2.03E-05,3.78E-05,8.14E-05,0,6.32E-05,2.16E-05,2.32E-05,4.68E-06,7.27E-06,1.10E-05,9.70E-06,0,0,9.33E-06,6.10E-05,0.004032258,0.00962348,-0.005591222,0.005779836,-0.001747578,3.89E-05,-0.390931143,1,herbaceous_wetland
Broward_Everglades Holiday Park,0.000975114,0.000674236,0.000340106,3.30E-05,0.000515756,0,0.000814805,0.001016235,2.92E-05,3.14E-05,1.82E-05,7.40E-05,7.11E-05,1.14E-06,0.000200663,1.60E-06,0.00184581,0.013073252,0.04,-0.026926748,0.014459052,-0.0013858,0.000735548,-0.725253919,1,Biodiversity
