UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor
Broward_Anne Kolb Nature Center,15.79481165,15.16845905,7.234507937,12.20120418,7.960729659,12.39378569,4.008727994,12.49584632,0.374933802,0.724530872,1.831371406,0.131589286,0.340714646,0.761041667,0,1.932022186,11.84651532,10,7.678888889,2.321111111,9.398625,0.601375,2.894731792,0.613790549,1,area
Broward_Boulevard Gardens Community Center,2.13501665,1.017320527,1.60960699,0.225256272,0.304238095,0,1.773973998,0.877083805,0.015935786,0.004757395,0.145324315,0.002304654,0.014105839,0.049393939,0,0.805918429,0.715790723,2,3.65,-1.65,2.125103175,-0.125103175,1.412976626,0.089800333,1,area
Broward_Brian Piccolo Sports Park & Velodrome,5.332517857,5.318338953,3.961040543,2.257774961,3.84621398,0,2.730424256,1.384086747,0.329103175,1.417513709,0.857934357,0.589414266,0.081593254,0,0.815096792,1.943007035,3.487063131,6,3.643333333,2.356666667,5.513583333,0.486416667,2.95020607,-0.307053322,1,area
Broward_CB Smith Park,6.932733114,7.106697983,6.867543901,5.309680639,6.639475746,0,4.898071678,1.759855325,0.687684177,0.07611039,2.352267843,0.307005952,0.18048174,0,0,2.091430417,3.878711094,8,5,3,7.921666667,0.078333333,1.617206224,0.255233976,1,tree
Broward_Central Broward Regional Park,1.214528485,2.774692183,2.113244186,0.553373266,1.010241911,0,0.751741134,0.369104715,0.637104007,0.187255855,0.34939548,0.027371032,0.563521173,0,0,0.060794012,0.320127511,5,3.657142857,1.342857143,4.802,0.198,0.577058189,0.394088902,1,tree
Broward_Crystal Lake Sand Pine Scrub,20.70760696,17.5043243,5.887415293,0,2.092505717,0,10.18825852,11.03369987,0.854906427,1.456086941,0,3.854931582,0.126926282,0.507058941,0,0.017357143,7.199285118,7,8,-1,7.087545635,-0.087545635,3.641866007,0.051126723,3,area
Broward_Deerfield Highlands Nature Preserve,22.1156323,19.07877943,7.307507076,0,0.713752706,0,3.570114164,4.90639745,1.549938908,2.12922225,0,1.710484127,0.43531746,0.811616162,0.000833333,0.250767205,9.554990607,3,4.51,-1.51,3.055694444,-0.055694444,4.917270294,-0.12978858,1,area
Broward_Deerfield Island Park,6.041455475,4.284240246,1.10105285,8.848715049,3.296334929,0,6.192492771,5.828787532,1.784587676,1.104406108,5.918577811,1.600333847,0.156194444,0.046333333,0.362293873,0.227285409,7.154547536,8,2.925,5.075,7.700916667,0.299083333,3.139975089,-0.106367062,1,water
Broward_Easterlin Park,7.177831016,2.968066975,4.575153291,4.051528291,7.777317641,0,6.401823829,2.029480741,0.304902778,0.675577076,1.379079726,0.642767663,1.186762612,0.055674603,0,0.09909127,6.406248044,8,5.419607843,2.580392157,7.24225,0.75775,2.308341097,0.210502231,1,herbaceous_wetland
Broward_Everglades Holiday Park,2.134501804,4.947281607,1.819145924,11.21866603,14.95082616,0,11.3513485,6.640344295,0.249182359,2.394723485,14.74635456,2.879451895,1.020400794,0.134864177,0.688443543,0.001142857,19.14437757,10,7.4,2.6,9.801222222,0.198777778,2.252434914,0.542542232,1,Biodiversity
