UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor,,variable,number,proportion
Broward_Anne Kolb Nature Center,0.119368635,0.054504832,0.030534297,0.07283314,0.046151645,0.024291227,0.069409645,0.034817778,0.017123144,0.004259032,0.092321631,0.029556252,0.001786817,0.003150811,0,0.076406367,0.025237617,0.620847652,0.435933143,0.184914509,0.584419985,0.036427667,0.052460737,0.102300306,1,area,,area,119,0.279342723
Broward_Boulevard Gardens Community Center,0.137375242,0.073043326,0.113407525,0.00745223,0.020302532,0,0.052350485,0.153419544,0.001384106,0.00126104,0.003078798,0.002052234,0.005654895,0.002116935,0,0.026880659,0.093357327,0,0.489413919,-0.489413919,0.064817714,-0.064817714,0.049443154,-0.127224533,1,mean_ndwi,,mean_ndvi,62,0.145539906
Broward_Brian Piccolo Sports Park & Velodrome,0.158333286,0.234503807,0.10414434,0.012333374,0.052975341,0,0.252108344,0.120695821,0.017134214,0.024309932,0.007869257,0.121675307,0.025230542,0,0.011935456,0.011372598,0.189906582,0.730337079,0.359101983,0.371235096,0.688125398,0.042211681,0.139094326,-0.315481344,1,mean_ndvi,,Biodiversity,58,0.136150235
Broward_CB Smith Park,0.048962302,0.022135777,0.034319901,0.012210586,0.028097699,0,0.054033329,0.060791342,0.018214152,0.011583336,0.00809591,0.030697307,0.000764726,0,0,0.017773287,0.100776693,0.448830409,0.111111111,0.337719298,0.458134883,-0.009304474,0.058982666,-0.117336448,1,Biodiversity,,tree,56,0.131455399
Broward_Central Broward Regional Park,0.040917675,0.041602077,0.022681118,0.000939056,0.002773982,0,0.011971506,0.015063709,0.000261525,0.010532395,0.003205505,0.003448603,0.000273535,0,0,0.013584844,0.048555756,0.542372881,0.606292517,-0.063919636,0.552594757,-0.010221876,0.030689593,0.21605164,1,Biodiversity,,grassland,40,0.093896714
Broward_Crystal Lake Sand Pine Scrub,0.032416894,0.01768584,0.037898855,0,0.015496878,0,0.034755056,0.060219529,0.001794699,0.002580608,0,0.007158247,0.006852162,0.026303119,0,0.000411592,0.030444697,0.689655172,0.695652174,-0.005997002,0.689917753,-0.000262581,0.057576356,-0.037250123,3,mean_ndwi,,mean_ndwi,38,0.089201878
Broward_Deerfield Highlands Nature Preserve,0.128668964,0.025438757,0.058277148,0,0.015240842,0,0.045359003,0.05704295,0.009149003,0.004112411,0,0.014035531,0.020323728,0.029445068,0.00085395,0.00175288,0.063045756,0.75,0.633094872,0.116905128,0.736953434,0.013046566,0.08063577,-0.400670055,1,area,,Athletic_facility,12,0.028169014
Broward_Deerfield Island Park,0.061383212,0.089904683,0.055256798,0.02956658,0.030836925,0,0.061902213,0.056853963,0.157994465,0.051601777,0.017129296,0.010920847,0.019753039,0.017834105,0.002626489,0.009007777,0.046363628,0.495412844,0.387992332,0.107420512,0.512884006,-0.017471162,0.07420972,0.049425351,1,Pavilion_Picnic_Area,,Jog_Walk_path,11,0.025821596
Broward_Easterlin Park,0.159105792,0.104661446,0.106549675,0.045683065,0.06475284,0,0.113235896,0.080337969,0.003474114,0.121861231,0.011707775,0.012213518,0.005464902,0.001103272,0,0.004439692,0.081828347,0.322580645,0.612252188,-0.289671543,0.394601102,-0.072020457,0.088921005,-0.313778335,1,area,,Kids_Playground,9,0.021126761
Broward_Everglades Holiday Park,0.064328304,0.226024642,0.08777632,0.017303481,0.066088729,0,0.10989039,0.122737169,0.010159715,0.061554506,0.018836465,0.008966263,0.074886152,0.004298818,0.0377673,0,0.148928902,0.069101473,0.410959162,-0.341857689,0.088098461,-0.018996988,0.065262752,-0.197179982,1,tree,,herbaceous_wetland,7,0.016431925
