UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor
Broward_Anne Kolb Nature Center,6.70E-06,6.53E-06,3.48E-06,6.89E-06,4.34E-06,4.42E-06,1.20E-06,5.78E-06,0,1.78E-07,1.09E-07,5.81E-08,1.09E-07,1.24E-06,0,2.48E-07,3.54E-06,0.004581901,0.002186449,0.002395452,0.003981097,0.000600804,0.0013529,-0.002452365,1,water
Broward_Boulevard Gardens Community Center,4.56E-06,0,0,0,0,0,0,0.000214193,3.39E-05,3.39E-05,0,0,0,0.00021875,0,0,7.29E-05,0,0,0,0,0,0.001041703,-3.48E-05,1,Nature_Preserve
Broward_Brian Piccolo Sports Park & Velodrome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Broward_CB Smith Park,7.84E-07,8.61E-07,8.92E-07,7.36E-07,8.07E-07,0,6.51E-07,0,1.98E-08,1.42E-08,3.50E-07,4.24E-08,0,0,0,3.45E-07,2.58E-07,0.001461988,0,0.001461988,0.001421661,4.03E-05,1.60E-07,-0.121731541,1,grassland
Broward_Central Broward Regional Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Broward_Crystal Lake Sand Pine Scrub,0.00136151,0.001240209,0.00022957,0,0.000139418,0,0.000514159,0.000573942,4.22E-05,9.12E-05,0,0.00037459,8.28E-06,8.95E-05,0,0,0.000420594,0.034482759,0.043478261,-0.008995502,0.034958789,-0.00047603,0.000132569,0.305979761,3,area
Broward_Deerfield Highlands Nature Preserve,0.001321772,0.001022174,0.000417691,0,4.12E-05,0,0.000256282,0.000245732,1.89E-05,0.00018338,0,7.64E-05,2.48E-05,6.35E-05,0,9.94E-06,0.000656244,0,0.016581709,-0.016581709,0.000526612,-0.000526612,0.000251327,-0.315739186,1,area
Broward_Deerfield Island Park,0.00100186,0.00215625,0.001085565,0.002846354,0.002201637,0,0.005517237,0.000952009,0.000301339,0.000378224,0.000473958,0,0.000104167,0,0,0,0.00113244,0,0.080729167,-0.080729167,0.028145833,-0.028145833,0.00491883,-0.180519319,1,mean_ndvi
Broward_Easterlin Park,0.000297794,0.000174282,0.000149236,0.000145858,0.000141157,0,5.45E-06,0.000244944,1.81E-06,1.30E-06,1.76E-05,1.92E-05,1.93E-05,0,0,0,1.03E-05,0,0.00836714,-0.00836714,0.001213506,-0.001213506,0.000247864,-0.079937674,1,area
Broward_Everglades Holiday Park,2.69E-06,7.27E-06,7.22E-06,2.21E-05,2.15E-05,0,2.34E-05,1.46E-05,0,1.11E-06,2.57E-05,1.72E-06,1.47E-06,2.22E-07,1.13E-06,3.56E-06,3.02E-05,0.007262918,0.006329114,0.000933804,0.00708936,0.000173558,2.34E-05,0.321790181,1,Biodiversity
Broward_Fern Forest Nature Center,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
