UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor
Broward_Anne Kolb Nature Center,0.571208347,0.124014295,0.108305419,0.417274979,0.155556671,0.143309151,0.082414394,0.200681303,0.014917812,0.027442268,0.212602717,0.007075836,0.013628433,0.125840659,0,0.166816008,0.165034905,1.847824514,1.288371444,0.55945307,1.780853091,0.066971423,0.17377429,0.264901771,1,area
Broward_Boulevard Gardens Community Center,0.172751864,0.102490685,0.154413708,0.047279104,0.036846733,0,0.127553831,0.0864774,0.00058467,0.003046066,0.046790086,0.005496192,0.003013954,0.004534598,0,0.083925819,0.095056743,0.562335145,0.896319613,-0.333984468,0.596182955,-0.03384781,0.066548198,0.012735284,1,area
Broward_Brian Piccolo Sports Park & Velodrome,0.382957179,0.408049475,0.205400246,0.095631937,0.335778189,0,0.189175242,0.150994655,0.014239003,0.060218015,0.015332755,0.030540766,0.024499687,0,0.014827284,0.042909009,0.249189612,1.044772307,0.969982414,0.074789893,1.053343805,-0.008571498,0.171060834,-0.048352012,1,tree
Broward_CB Smith Park,0.058542353,0.146174289,0.076373602,0.023161471,0.075986303,0,0.089051791,0.116300149,0.035553568,0.006952396,0.005715329,0.014888987,0.01271636,0,0,0.020072812,0.168168649,1.204449726,0.981979377,0.222470349,1.188670992,0.015778734,0.075543994,-0.095398124,1,Biodiversity
Broward_Central Broward Regional Park,0.044513561,0.027878439,0.023122894,0.017158551,0.026232552,0,0.048829713,0.022961781,0.038626096,0.007452579,0.006221068,0.002666995,0.028922995,0,0,0.005683439,0.018568846,1.213041488,0.937033965,0.276007523,1.192906288,0.0201352,0.05319421,-0.018650387,1,mean_ndvi
Broward_Crystal Lake Sand Pine Scrub,0.364104832,0.203746178,0.598978354,0,0.308080885,0,0.60184524,0.775396926,0.027900322,0.121979958,0,0.058763696,0.008183549,0.013368526,0,0.006288899,0.529340817,1.49763218,1.676480413,-0.178848233,1.506125958,-0.008493778,0.232325769,-0.010357734,3,mean_ndwi
Broward_Deerfield Highlands Nature Preserve,0.747497559,0.567756526,0.471396734,0,0.051683186,0,0.301268612,0.352909614,0.147182809,0.102237117,0,0.064336034,0.04557205,0.023629558,0.001965166,0.022725943,0.463834644,0.908908735,0.929761448,-0.020852713,0.905863044,0.003045691,0.318784579,-0.101776811,1,area
Broward_Deerfield Island Park,0.36571531,0.184205896,0.266841049,0.320493291,0.116361648,0,0.245336746,0.293596256,0.42006127,0.036454895,0.293185193,0.201818663,0.030060415,0.008187178,0.022810145,0.036659484,0.225182954,1.789881653,0.846086082,0.943795571,1.711661577,0.078220076,0.229430094,-0.029813483,1,Pavilion_Picnic_Area
Broward_Easterlin Park,0.406300502,0.082046429,0.300945846,0.052170631,0.165144205,0,0.078411595,0.09874508,0.015056525,0.020247359,0.026947056,0.005134992,0.016361197,0.012206592,0,0.008791199,0.120511615,1.288373293,1.178459971,0.109913322,1.287783885,0.000589408,0.134518796,0.109316144,1,area
Broward_Everglades Holiday Park,0.059400064,0.295824774,0.16231045,0.046494595,0.17030957,0,0.086547067,0.061121044,0.0091473,0.160843192,0.088260652,0.070281125,0.173606164,0.003787135,0.00501744,0.002570784,0.19447751,1.623520704,1.38755782,0.235962884,1.603010611,0.020510093,0.093715841,0.05871735,1,tree
Broward_Fern Forest Nature Center,0.14658516,0.064108741,0.047751501,0,0.013497271,0,0.075206055,0.073353495,0.000445683,0.020516922,0.005405307,0.094878075,0.030973059,0.008072218,0.001137293,0.003815426,0.073226257,1.331252115,0.988090847,0.343161268,1.309299964,0.021952151,0.097039933,-0.095364197,1,area
Broward_Franklin Park,0.130196574,0.078117161,0.168757703,0.034993148,0.033271213,0,0.089257846,0.072126781,0.001475567,0.001780732,0.025144557,0.016787831,0.003697952,0,0,0.06411801,0.06396419,0.915510241,0.926023855,-0.010513614,0.927497588,-0.011987347,0.061355531,0.027938435,1,grassland
Broward_Helene Klein Pineland Preserve,0.013426857,0.040846244,0.078958629,0.00124379,0.00911701,0,0.06913023,0.077348863,0.002096955,0.083091117,0.00272486,0.007677262,0.01947004,0.002578171,0.003293702,0.0048332,0.051070531,1.357023207,1.258015693,0.099007514,1.330638662,0.026384545,0.026482139,0.1926803,1,Kids_Playground
Broward_Herman and Dorothy Shooster Nature Preserve,0.206822061,0.087103912,0.142703026,0.000558968,0.010973162,0,0.148291221,0.123997968,0.036441191,0.170971056,0.003407635,0.153043162,0.044159102,0.013284876,0,0,0.119554976,1.01949786,1.220772764,-0.201274904,1.103218609,-0.083720749,0.129317352,-0.319886767,1,area
Broward_Highlands Scrub Natural Area,0.484754944,0.483079803,0.309891886,0,0.01777927,0,0.283614155,0.169567456,0.08847731,0.12117641,0,0.080606989,0.052648322,0.064046005,0.002614459,0.01648235,0.317383022,1.676480413,0.964284473,0.71219594,1.580285691,0.096194722,0.284817786,-0.171088067,1,area
Broward_Hollywood North Beach Park,0.468224024,0.064127842,0.074105923,0.265851588,0.092011869,0.085222607,0.080922529,0.174389516,0.039539355,0.012365589,0.132824362,0.01404862,0.009568199,0.111087026,0,0.089676847,0.142526426,1.28143641,1.498361716,-0.216925306,1.311822079,-0.030385669,0.185809037,0.248461035,1,area
Broward_Kristin Jacobs Natural Area at Hillsboro Pineland,0.012916871,0.032023796,0.060560883,0.000629071,0.008050815,0,0.031556411,0.060280934,0.003103154,0.053517532,0.000467248,0.008931668,0.023291255,0.007218807,0.002211952,0.008154412,0.021115924,1.252659421,1.340484405,-0.087824984,1.274520556,-0.021861135,0.026390733,0.195466859,1,grassland
Broward_Lafayette Hart Park,0.156741633,0.059442155,0.147822156,0.047469335,0.046354449,0,0.055031002,0.050074609,0.001191312,0.002264417,0.037737231,0.008412877,0.007611383,0,0,0.062216798,0.055450343,0.688403875,0.806374924,-0.117971049,0.692274307,-0.003870432,0.059397037,0.12741712,1,area
Broward_Long Key Natural Area and Nature Center,0.480500334,0.362668119,0.708080078,0.007400049,0.337963301,0,0.212035987,0.202256196,0.014424246,0.241677959,0.034989385,0.049330669,0.042656753,0.060778977,0.011655082,0.004202133,0.164142508,1.693957642,1.385985803,0.307971839,1.636870686,0.057086956,0.135549951,0.322203282,1,grassland
Broward_Markham Park,0.100549123,0.297462599,0.086343498,0.047891384,0.064792122,0,0.173881244,0.099475694,0.201239152,0.06462907,0.024750154,0.043513841,0.093309449,0,0.00717111,0.021680818,0.453726789,1.117527603,1.06472849,0.052799113,1.117657877,-0.000130274,0.12625206,0.123529077,1,Biodiversity
