UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor
Broward_Anne Kolb Nature Center,4.34E-06,1.96E-06,1.76E-06,3.75E-06,1.30E-06,6.52E-06,5.95E-06,4.75E-06,0,9.24E-08,3.90E-08,8.51E-08,0,3.16E-06,0,2.46E-08,5.90E-06,0.003436426,0.00130719,0.002129236,0.003387128,4.93E-05,6.05E-06,0.120363158,1,mangroves
Broward_Boulevard Gardens Community Center,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Broward_Brian Piccolo Sports Park & Velodrome,3.36E-06,6.83E-06,7.05E-07,0,8.85E-08,0,5.81E-06,4.78E-07,0,1.49E-06,0,3.52E-07,6.41E-07,0,7.65E-06,5.00E-08,5.55E-06,0,0,0,7.58E-06,-7.58E-06,4.33E-06,-0.130710689,1,Dog_Park
Broward_CB Smith Park,0.000133559,4.51E-05,3.65E-05,3.97E-05,7.39E-05,0,4.94E-05,0.000366526,1.99E-06,0,5.87E-05,1.72E-05,0,0,0,5.67E-06,9.45E-05,0,0.038461538,-0.038461538,0.001907051,-0.001907051,0.00020984,-1.105333651,1,mean_ndwi
Broward_Central Broward Regional Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Broward_Crystal Lake Sand Pine Scrub,0.000325383,0.000922514,0.000265713,0,0.000116554,0,0.000389644,0.000392891,0.000333171,1.81E-05,0,3.47E-05,4.95E-06,1.77E-05,0,0,0.000310808,0.034482759,0,0.034482759,0.031102901,0.003379858,0.000173738,-1.191705023,3,tree
Broward_Deerfield Highlands Nature Preserve,0.000169653,0.000486677,2.74E-05,0,1.09E-05,0,0.00013372,0.000116136,0.000115275,2.17E-05,0,4.77E-06,1.01E-06,2.11E-05,0,0,0.000240693,0,0.00137931,-0.00137931,3.45E-05,-3.45E-05,0.000145527,-0.835817482,1,tree
Broward_Deerfield Island Park,1.16E-05,9.94E-06,4.47E-06,1.76E-05,3.23E-06,0,4.93E-05,1.56E-05,0,6.98E-06,4.65E-06,8.74E-06,1.49E-06,0,0,0,1.64E-05,0,0.001213592,-0.001213592,0.000524676,-0.000524676,8.75E-06,-0.392525943,1,mean_ndvi
Broward_Easterlin Park,7.50E-06,9.75E-06,7.91E-07,9.18E-06,8.45E-06,0,2.41E-05,1.17E-05,9.91E-08,3.13E-07,1.95E-06,2.02E-07,1.74E-06,0,0,0,2.06E-05,0.008064516,0,0.008064516,0.006180107,0.001884409,6.74E-06,-0.553834008,1,mean_ndvi
Broward_Everglades Holiday Park,4.00E-05,2.42E-05,1.64E-06,2.49E-05,5.26E-05,0,4.86E-06,5.86E-06,0,1.37E-06,4.38E-06,1.97E-07,5.07E-08,3.23E-05,6.75E-08,1.79E-10,6.37E-06,0.000207512,0.006329114,-0.006121602,0.000486385,-0.000278873,1.31E-05,-0.22455753,1,herbaceous_wetland
